item_id,item_idx,text_clean
twitter15_273182568298450945,1,42 million dead in bloodiest black friday weekend on record url
twitter15_273278761909239808,2,42 million dead in bloodiest black friday weekend on record url
twitter15_295944137948151809,4,a photo of black nurses saving the life of a kkk member url
twitter15_318263294098030593,5,a photo of black nurses saving the life of a kkk member url
twitter15_326137285450018817,7,a photo of black nurses saving the life of a kkk member url
twitter15_336873759271157760,9,hasan gets 278k but victims denied army benefits disgusting waste of tax garnish his wages send 2 red cross url
twitter15_336913656921083904,10,fort hood shooter reportedly has drawn 278g in salary since massacre url
twitter15_348203818741272576,11,outrage is an understatement irs sent 46 378 040 in refunds to 23 994 unauthorized aliens at 1 atl address url
twitter15_348204426659508226,12,irs sent 46 378 040 in refunds to 23 994 unauthorized aliens at 1 atlanta address cns news url via @user
twitter15_348209998565879810,13,paula deen forget the food network i ve already been offered a cooking show on the new fox news food channel
twitter15_351767344097398785,14,expect to see russian forces at us events to provide security this is illegal under posse comitatus url
twitter15_352075672543428608,15,paula deen moves to have discrimination suit dismissed just in time for her new book how to cook a jew
twitter15_356407105953071107,19,just in @user department of justice file federal charges against georgezimmerman
twitter15_356437941641416705,20,obama has filed federal charges against zimmerman for violating trayvon s civil rights god is good
twitter15_357299879070023680,21,please read do not purchase koch products they re paying for zimmerman s attorney fees url
twitter15_357300409292959744,22,lets start by boycotting koch industiers they paid for george zimmerman legal fees justicefortrayvon jurorb37 url
twitter15_358591089462099968,23,this week s top story george zimmerman wins florida state lottery url
twitter15_364383457545162754,24,highly radioactive water is seeping into the ocean from japan s crippled fukushima nuclear plant url
twitter15_364589696573124609,25,fukushima highly radioactive water seeping into the ocean url
twitter15_365052155385749505,26,revealed fukushima leaking radioactive water for 2 years 300 tons flowing into pacific daily url
twitter15_365056836476481537,27,estimated 300 tons of contaminated water leaking into pacific ocean per day from wrecked fukushima nuclear plant url
twitter15_365276206381268995,28,japan fukushima nuclear plant is leaking 80 000 gallons of radioactive water into ocean daily url
twitter15_365497016098369536,29,water leaks at fukushima could contaminate entire pacific ocean url
twitter15_366025766183514112,30,japanese government says fukushima nuclear plant is leaking 300 tons of radioactive water into the ocean every day url
twitter15_366205297557110784,31,details radioactive water from under fukushima has risen 60cm above protective barrier freely leaking to ocean url
twitter15_369506008172740608,32,fukushima nuclear plant leaking 300 tons of radioactive water into the pacific every day url
twitter15_370855596050108416,33,fukushima s new looming crisis radioactive groundwater seeping toward pacific ocean @user reports url jm
twitter15_372489152903643136,34,fukushima now in state of emergency leaking 300 tons of radioactive water into the ocean daily learn more url
twitter15_372901260183494656,35,fukushima toxic water leak a level 3 serious incident url fuck you tepco fucking ocean is boiling yan
twitter15_372914976102834176,36,fukushima reactors leaking into groundwater can t be stopped from getting in ocean buildings now on mushy land url
twitter15_376874273601630208,37,once again jk rowling is not working on an eighth harry potter book i expect this rumour originated from either the quibbler or trelawney
twitter15_377002232257855488,39,j k rowling is working on an 8th harry potter book
twitter15_380140114552188928,42,can twerking in louisiana really get you a mandatory 30 days in jail url
twitter15_386682163862986752,43,fox obama offers to pay out of his own pocket for the museum of muslim culture their source a satire website url
twitter15_386998038004113409,44,this is a new low obama spent money to close natl parks but shut down the amber alert website look for yourself url
twitter15_387006553124896768,45,barack obama has doj shut down the amber alert system so we can add dead kids to the lengths he s is willing to go in his shutdown game
twitter15_387006700609228801,46,really amber alert website goes dark under government shutdown url
twitter15_387007120689737729,47,by all means let s turn over healthcare decision making to people willing to shut down the amber alert website out of spite
twitter15_387009577763360768,48,really amber alert website goes dark under government shutdown url
